City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
113,Ballina,AU,-28.8667,153.5667,67.96,93,90,4.61,overcast clouds
114,Kahului,US,20.8947,-156.47,76.84,95,75,17.27,mist
115,San Patricio,US,28.017,-97.5169,64.49,48,0,1.34,clear sky
116,Rocha,UY,-34.4833,-54.3333,73.56,42,0,15.01,clear sky
117,Sorland,NO,67.667,12.6934,24.87,67,100,17.05,overcast clouds
118,Sauk Rapids,US,45.5919,-94.1661,16.2,80,90,1.01,light snow
119,Aksu,CN,41.1231,80.2644,30.79,39,100,0.81,overcast clouds
120,Mercedes,AR,-34.6515,-59.4307,86.18,22,0,12.12,clear sky
121,Bac Lieu,VN,9.285,105.7244,75.69,86,94,2.77,overcast clouds
122,Yeppoon,AU,-23.1333,150.7333,74.98,84,67,2.93,broken clouds
123,Pevek,RU,69.7008,170.3133,-14.17,99,100,5.7,overcast clouds
124,Grindavik,IS,63.8424,-22.4338,30.67,93,20,13.8,few clouds
125,Isangel,VU,-19.55,169.2667,75.31,88,4,2.3,clear sky
126,Bredasdorp,ZA,-34.5322,20.0403,64.27,77,100,8.05,light rain
127,Mwinilunga,ZM,-11.7358,24.4293,63.18,97,100,3.36,moderate rain
128,Dingle,PH,10.9995,122.6711,73.26,94,100,9.89,overcast clouds
129,Makasar,ID,-5.14,119.4221,75.25,100,20,3.44,few clouds
130,Faanui,PF,-16.4833,-151.75,80.51,75,6,7.72,clear sky
131,Tasiilaq,GL,65.6145,-37.6368,26.76,63,11,8.41,few clouds
132,Smolenka,RU,52.1352,113.4974,3.27,92,15,0.0,few clouds
133,North Platte,US,41.1239,-100.7654,37.99,51,1,3.0,clear sky
134,Strezhevoy,RU,60.7333,77.5889,-5.03,95,100,10.4,overcast clouds
135,Ginda,IN,30.6945,78.4932,42.67,32,0,7.45,clear sky
136,Ustikolina,BA,43.5836,18.79,33.37,98,99,2.8,overcast clouds
137,Bathsheba,BB,13.2167,-59.5167,84.81,65,40,25.32,scattered clouds
138,Bluff,NZ,-46.6,168.3333,54.81,80,100,6.98,overcast clouds
139,Kodiak,US,57.79,-152.4072,31.51,51,1,40.29,clear sky
140,Jieshi,CN,22.8134,115.8257,61.43,68,0,21.09,clear sky
141,Byron Bay,AU,-28.65,153.6167,74.05,90,99,7.45,overcast clouds
142,Xudat,AZ,41.631,48.681,49.06,75,66,1.81,broken clouds
143,Cananeia,BR,-25.0147,-47.9267,71.15,78,24,13.04,few clouds
144,Castro,BR,-24.7911,-50.0119,64.31,76,75,12.71,broken clouds
145,Shache,CN,38.4167,77.2406,32.59,32,100,1.39,overcast clouds
146,Pacific Grove,US,36.6177,-121.9166,60.51,88,100,1.01,overcast clouds
147,Chirongui,YT,-12.9319,45.1483,80.53,76,62,11.48,broken clouds
148,Teplodar,UA,46.5059,30.3252,51.44,95,100,5.48,overcast clouds
149,Lashio,MM,22.9333,97.75,58.06,98,4,0.87,clear sky
150,Los Llanos De Aridane,ES,28.6585,-17.9182,63.12,75,75,13.0,volcanic ash
151,Laredo,US,27.5064,-99.5075,71.6,29,1,3.44,clear sky
152,Lervik,GB,60.1545,-1.1494,42.8,72,100,25.75,overcast clouds
153,Makakilo City,US,21.3469,-158.0858,70.12,88,90,4.61,light rain
154,Chipinge,ZW,-20.1883,32.6236,69.44,75,92,5.35,light rain
155,Saint George,US,37.1041,-113.5841,59.63,33,20,3.0,few clouds
156,Springbok,ZA,-29.6643,17.8865,70.93,40,0,6.06,clear sky
157,Cherskiy,RU,68.75,161.3,-44.43,100,89,1.1,overcast clouds
158,Kimbe,PG,-5.5502,150.1429,76.42,93,100,2.24,overcast clouds
159,Mount Gambier,AU,-37.8333,140.7667,39.11,87,6,5.75,clear sky
160,Bronnoysund,NO,65.4625,12.1997,24.8,58,0,17.27,clear sky
161,Guayaramerin,BO,-10.8368,-65.3614,86.05,66,40,4.61,scattered clouds
162,Aykhal,RU,66.0,111.5,-19.14,100,85,2.06,overcast clouds
163,Shasta Lake,US,40.6804,-122.3708,60.82,67,0,1.01,clear sky
164,Broome,US,42.2506,-75.833,34.63,64,90,4.0,overcast clouds
165,Sadasivpet,IN,17.6212,77.9503,72.41,57,83,7.47,broken clouds
166,Joensuu,FI,62.6012,29.7632,13.26,85,90,5.75,light snow
167,Tiksi,RU,71.6872,128.8694,-23.85,95,100,7.61,overcast clouds
168,Atyrau,KZ,47.1167,51.8833,41.02,87,75,15.66,mist
169,Dzilam Gonzalez,MX,21.2833,-88.9333,90.77,47,21,5.64,few clouds
170,Skoczow,PL,49.8009,18.7877,32.14,97,44,4.21,scattered clouds
171,Alytus,LT,54.4,24.05,12.11,88,6,3.62,clear sky
172,Tecoanapa,MX,16.5167,-98.75,83.5,67,0,7.34,clear sky
173,Maldonado,UY,-34.6667,-54.9167,76.39,33,0,16.24,clear sky
174,Mount Isa,AU,-20.7333,139.5,80.37,57,75,5.75,light rain
175,Uva,RU,56.9908,52.1852,11.62,73,100,8.14,overcast clouds
176,Machico,PT,32.7,-16.7667,64.71,77,75,4.61,broken clouds
177,Maniitsoq,GL,65.4167,-52.9,15.62,72,0,19.01,clear sky
178,Koygorodok,RU,60.445,50.9968,5.61,92,100,5.46,overcast clouds
179,Lavrentiya,RU,65.5833,-171.0,-2.07,81,35,6.06,scattered clouds
180,Katobu,ID,-4.9408,122.5276,74.86,93,100,5.26,overcast clouds
181,San Andres,CO,12.5847,-81.7006,86.02,70,40,17.27,scattered clouds
182,Chuy,UY,-33.6971,-53.4616,70.2,53,0,14.63,clear sky
183,Helong,CN,42.5397,128.9972,22.5,75,1,5.08,clear sky
184,Wau,SS,7.7029,27.9953,85.14,25,98,5.03,overcast clouds
185,Fuling,CN,29.7022,107.3919,53.8,67,100,1.92,overcast clouds
186,Los Negros,BO,-17.7333,-63.4333,91.53,35,47,3.58,scattered clouds
187,Atambua,ID,-9.1061,124.8925,74.01,86,47,2.89,scattered clouds
188,General Pico,AR,-35.6566,-63.7568,90.28,27,0,17.31,clear sky
189,Choszczno,PL,53.169,15.4205,27.43,94,68,12.1,broken clouds
190,Birao,CF,10.2849,22.7882,79.59,22,5,5.77,clear sky
191,Hualmay,PE,-11.0964,-77.6139,72.45,74,74,10.78,broken clouds
192,Matadi,CD,-5.8167,13.45,78.82,92,14,4.23,light rain
193,Naze,JP,28.3667,129.4833,61.29,58,3,18.77,clear sky
194,Quebo,GW,11.3333,-14.9333,81.1,67,46,6.31,scattered clouds
195,Corinto,GR,37.9407,22.9573,56.89,69,73,1.99,broken clouds
196,Quelimane,MZ,-17.8786,36.8883,84.15,70,0,17.27,clear sky
197,Vaini,TO,-21.2,-175.2,75.36,88,75,10.36,light rain
198,Kamina,CD,-8.7386,24.9906,64.87,98,100,3.58,light rain
199,Uryupinsk,RU,50.8047,42.0138,34.61,95,100,16.98,overcast clouds
200,Sharjah,AE,25.3573,55.4033,75.18,74,0,3.44,clear sky
201,Namatanai,PG,-3.6667,152.4333,79.27,87,100,10.78,overcast clouds
202,The Valley,AI,18.217,-63.0578,84.06,69,40,14.97,scattered clouds
203,Deputatskiy,RU,69.3,139.9,-30.19,94,100,4.32,overcast clouds
204,Ust-Tarka,RU,55.5672,75.705,-8.0,98,10,7.78,clear sky
205,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,73,90,8.05,overcast clouds
206,Changde,CN,29.0464,111.6783,49.1,47,95,5.59,overcast clouds
207,Kudahuvadhoo,MV,2.6708,72.8944,81.72,80,100,9.6,overcast clouds
208,Santa Cruz,BO,-17.8,-63.1667,91.45,46,40,12.66,scattered clouds
209,Oga,IT,46.4631,10.347,22.28,52,12,3.49,few clouds
210,Yalta,UA,44.5,34.1667,55.62,70,33,10.42,scattered clouds
211,Provideniya,RU,64.3833,-173.3,3.79,76,94,5.17,overcast clouds
212,Mpika,ZM,-11.8343,31.4529,73.99,34,35,10.02,scattered clouds
213,Jimma,ET,7.6667,36.8333,61.21,41,10,1.48,clear sky
214,Kabompo,ZM,-13.5927,24.2008,69.06,78,100,5.06,light rain
215,Caravelas,BR,-17.7125,-39.2481,74.23,93,100,6.71,overcast clouds
216,Lakatoro,VU,-16.0999,167.4164,80.65,82,78,5.57,broken clouds
217,Derzhavinsk,KZ,51.1,66.3167,-9.35,100,55,3.47,broken clouds
218,San Quintin,MX,30.4833,-115.95,63.43,69,85,8.79,overcast clouds
219,Srednekolymsk,RU,67.45,153.6833,-28.05,97,100,4.72,overcast clouds
220,Benghazi,LY,32.1167,20.0667,63.99,52,100,31.81,overcast clouds
221,Vila Velha,BR,-20.3297,-40.2925,73.35,95,90,8.99,heavy intensity rain
222,Tam Ky,VN,15.5667,108.4833,69.78,84,100,5.79,overcast clouds
223,Avarua,CK,-21.2078,-159.775,77.05,88,90,4.61,light rain
224,Kruisfontein,ZA,-34.0033,24.7314,60.89,87,33,3.06,scattered clouds
225,Georgetown,MY,5.4112,100.3354,79.9,82,20,3.0,few clouds
226,Nikolskoye,RU,59.7035,30.7861,6.69,100,91,4.43,overcast clouds
227,Paamiut,GL,61.994,-49.6678,6.89,74,100,9.4,overcast clouds
228,Fairbanks,US,64.8378,-147.7164,19.4,84,90,0.0,light snow
229,Barrhead,GB,55.7992,-4.3929,41.05,85,75,7.0,broken clouds
230,Mansa,IN,29.9833,75.3833,58.26,44,5,4.94,clear sky
231,Sembe,CG,1.6481,14.5806,75.38,84,38,2.46,scattered clouds
232,Cairns,AU,-16.9167,145.7667,78.75,87,40,8.05,scattered clouds
233,Ashland,US,40.8167,-82.2665,27.88,71,100,7.63,overcast clouds
234,Zhoucheng,CN,35.9122,116.3117,38.66,58,100,2.53,overcast clouds
235,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,72,22,11.48,few clouds
236,Clyde River,CA,70.4692,-68.5914,7.03,78,22,3.44,few clouds
237,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,82.0,66,11,12.95,few clouds
238,Leshukonskoye,RU,64.8989,45.7622,-1.75,99,64,4.0,broken clouds
239,Aksarka,RU,66.5606,67.7975,-13.61,99,35,5.95,scattered clouds
240,Pavlodar,KZ,52.3,76.95,-0.6,85,40,8.95,scattered clouds
241,Launceston,AU,-41.45,147.1667,48.79,87,100,10.36,overcast clouds
242,Soyo,AO,-6.1349,12.3689,82.45,86,6,8.19,clear sky
243,Umm Lajj,SA,25.0213,37.2685,76.82,63,49,6.62,scattered clouds
244,Vardo,NO,70.3705,31.1107,12.18,73,0,27.63,clear sky
245,Marzuq,YE,14.4,46.4667,62.53,24,3,1.25,clear sky
246,Olinda,BR,-8.0089,-34.8553,83.93,70,40,8.05,scattered clouds
247,Banda Aceh,ID,5.5577,95.3222,77.92,84,8,9.08,clear sky
248,Port Elizabeth,ZA,-33.918,25.5701,63.1,77,0,3.44,clear sky
249,Mogzon,RU,51.7435,111.9606,5.97,95,10,0.63,clear sky
250,Nome,US,64.5011,-165.4064,-8.07,96,39,5.75,scattered clouds
251,Pangody,RU,65.85,74.4859,-1.66,95,99,15.55,overcast clouds
252,Bardiyah,LY,31.7561,25.0865,59.5,55,6,23.69,clear sky
253,Bangui,CF,4.3612,18.555,77.32,75,57,3.78,broken clouds
254,Suoyarvi,RU,62.0833,32.35,13.87,96,100,4.65,light snow
255,Tres Arroyos,AR,-38.3739,-60.2798,87.84,29,0,16.96,clear sky
256,Wundanyi,KE,-3.4019,38.364,63.28,85,95,4.76,light rain
257,Nueva Loja,EC,0.0847,-76.8828,81.88,100,90,8.05,overcast clouds
258,Marawi,PH,7.9986,124.2928,65.64,94,100,1.74,overcast clouds
259,Port Hawkesbury,CA,45.6169,-61.3485,44.19,59,20,11.01,few clouds
260,Taganak,PH,6.0833,118.3,77.14,73,100,8.77,overcast clouds
261,Beringovskiy,RU,63.05,179.3167,-13.0,95,68,3.09,broken clouds
262,Xinmin,CN,41.9908,122.8253,26.85,59,0,6.15,clear sky
263,Santa Isabel,BR,-23.3156,-46.2214,66.65,93,99,10.04,overcast clouds
264,Mattru,SL,7.6244,-11.8332,79.63,78,68,3.91,broken clouds
265,Yamada,JP,39.4667,141.95,50.5,87,100,11.25,light rain
266,Saldanha,ZA,-33.0117,17.9442,66.25,85,48,24.07,scattered clouds
267,Pa Sang,TH,18.5262,98.9394,66.49,84,5,0.29,clear sky
268,Vila,PT,42.0304,-8.1588,43.68,93,100,8.72,overcast clouds
269,Cibinong,ID,-6.4817,106.8542,78.13,88,11,2.17,few clouds
270,Katsuura,JP,35.1333,140.3,53.62,94,100,29.57,overcast clouds
