City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
88,Tuktoyaktuk,CA,2021-12-03 00:17:33,69.4541,-133.0374,-18.4,76,20,16.11
89,Leningradskiy,RU,2021-12-03 00:17:33,69.3833,178.4167,2.28,93,100,15.59
90,Moses Lake,US,2021-12-03 00:15:44,47.1301,-119.2781,50.61,53,1,10.36
91,Ewo,CG,2021-12-03 00:18:34,-0.8725,14.8206,72.39,94,92,3.0
92,New Norfolk,AU,2021-12-03 00:18:34,-42.7826,147.0587,64.76,46,22,5.01
93,Verkhoyansk,RU,2021-12-03 00:18:34,67.5447,133.385,-40.29,99,100,2.3
94,Bredasdorp,ZA,2021-12-03 00:18:35,-34.5322,20.0403,54.72,88,5,5.75
95,Tsaratanana,MG,2021-12-03 00:18:35,-16.7833,47.65,71.73,66,2,11.83
96,Ambilobe,MG,2021-12-03 00:18:35,-13.2,49.05,73.15,73,0,3.8
97,Caravelas,BR,2021-12-03 00:18:36,-17.7125,-39.2481,76.32,86,35,9.69
98,Nanortalik,GL,2021-12-03 00:18:36,60.1432,-45.2371,24.48,78,43,23.67
99,Ibra,OM,2021-12-03 00:18:36,22.6906,58.5334,63.5,56,2,4.03
100,Geraldton,AU,2021-12-03 00:18:37,-28.7667,114.6,73.81,46,0,18.41
101,Tiksi,RU,2021-12-03 00:18:37,71.6872,128.8694,-29.97,100,88,2.66
102,Churapcha,RU,2021-12-03 00:18:38,62.0025,132.4325,-28.46,96,100,7.54
103,Ahuimanu,US,2021-12-03 00:18:38,21.4447,-157.8378,82.78,62,20,10.36
104,Avarua,CK,2021-12-03 00:15:15,-21.2078,-159.775,75.25,88,75,13.8
105,Atuona,PF,2021-12-03 00:18:38,-9.8,-139.0333,78.82,74,59,21.41
106,Almeirim,BR,2021-12-03 00:18:39,-1.5233,-52.5817,80.19,72,78,4.32
107,Mahebourg,MU,2021-12-03 00:18:39,-20.4081,57.7,77.29,88,40,5.75
108,Warri,NG,2021-12-03 00:18:40,5.5167,5.75,78.1,90,69,2.86
109,Olafsvik,IS,2021-12-03 00:18:40,64.8945,-23.7142,34.14,80,100,20.87
110,Kodiak,US,2021-12-03 00:15:21,57.79,-152.4072,18.91,53,1,14.97
111,Prado,BR,2021-12-03 00:18:40,-17.3411,-39.2208,75.11,92,28,8.14
112,Ilulissat,GL,2021-12-03 00:18:41,69.2167,-51.1,21.79,81,100,11.41
113,Faanui,PF,2021-12-03 00:18:41,-16.4833,-151.75,81.19,74,81,22.21
114,Nchelenge,ZM,2021-12-03 00:18:41,-9.3451,28.734,70.83,81,18,2.68
115,Peshkopi,AL,2021-12-03 00:18:42,41.685,20.4289,51.85,98,100,7.18
116,Pacific Grove,US,2021-12-03 00:15:06,36.6177,-121.9166,68.63,84,1,1.01
117,Kopayhorod,UA,2021-12-03 00:18:42,48.8592,27.7969,44.6,87,27,7.27
118,Tateyama,JP,2021-12-03 00:18:42,34.9833,139.8667,59.27,66,64,12.59
119,Airai,TL,2021-12-03 00:18:43,-8.9266,125.4092,71.53,57,100,1.19
120,Flinders,AU,2021-12-03 00:18:43,-34.5833,150.8552,83.8,70,1,14.0
121,Black River,JM,2021-12-03 00:18:44,18.0264,-77.8487,80.6,77,58,3.51
122,Inirida,CO,2021-12-03 00:18:44,3.8653,-67.9239,73.45,94,99,1.1
123,Norman Wells,CA,2021-12-03 00:18:44,65.282,-126.8329,-12.96,70,75,16.11
124,Calamar,CO,2021-12-03 00:18:44,10.2511,-74.9146,82.35,84,89,5.32
125,Huanren,CN,2021-12-03 00:16:57,41.2647,125.3667,15.49,89,64,1.68
126,Havelock,US,2021-12-03 00:18:45,34.8791,-76.9013,60.93,79,1,5.99
127,Bubaque,GW,2021-12-03 00:18:45,11.2833,-15.8333,81.63,64,92,12.53
128,Butaritari,KI,2021-12-03 00:15:15,3.0707,172.7902,81.95,75,76,13.04
129,Georgetown,MY,2021-12-03 00:16:45,5.4112,100.3354,76.95,93,40,2.3
130,Saint-Pierre,RE,2021-12-03 00:17:40,-21.3393,55.4781,76.68,83,75,14.97
131,Taoudenni,ML,2021-12-03 00:18:46,22.6783,-3.9836,67.17,21,99,8.86
132,Tsabong,BW,2021-12-03 00:18:46,-26.0217,22.401,73.65,55,100,10.2
133,Nova Odesa,UA,2021-12-03 00:18:47,47.3078,31.7851,44.17,92,100,9.24
134,Norwich,GB,2021-12-03 00:18:47,52.6278,1.2983,34.47,84,85,1.01
135,Jiwani,PK,2021-12-03 00:18:47,25.05,61.7417,74.34,60,0,1.3
136,Kununurra,AU,2021-12-03 00:18:48,-15.7667,128.7333,91.38,62,67,5.75
137,Hanzhong,CN,2021-12-03 00:19:48,33.0728,107.0303,41.97,53,98,1.74
138,Port Alfred,ZA,2021-12-03 00:19:48,-33.5906,26.891,62.85,70,100,24.56
139,Sabla,NG,2021-12-03 00:19:49,12.7525,4.7077,74.05,21,28,9.89
140,Adrar,MR,2021-12-03 00:19:49,20.5022,-10.0711,64.63,22,98,12.88
141,Pangai,TO,2021-12-03 00:19:49,-19.8,-174.35,82.51,65,75,21.85
142,Port Elizabeth,ZA,2021-12-03 00:19:50,-33.918,25.5701,62.1,82,20,18.41
143,Castro,BR,2021-12-03 00:19:50,-24.7911,-50.0119,61.0,97,60,8.05
144,Zalantun,CN,2021-12-03 00:15:54,48.0,122.7167,11.26,63,0,8.81
145,Alekseyevsk,RU,2021-12-03 00:19:50,57.8406,108.3492,15.82,96,100,3.8
146,Pontassieve,IT,2021-12-03 00:19:51,43.7737,11.4282,45.88,96,0,4.0
147,Grindavik,IS,2021-12-03 00:19:51,63.8424,-22.4338,36.07,80,75,21.85
148,Zhangye,CN,2021-12-03 00:19:52,38.9342,100.4517,23.77,44,85,2.59
149,Ponta Do Sol,PT,2021-12-03 00:19:52,32.6667,-17.1,65.03,67,5,7.2
150,Bambous Virieux,MU,2021-12-03 00:19:52,-20.3428,57.7575,77.25,88,40,5.75
151,Sorong,ID,2021-12-03 00:19:52,-0.8833,131.25,78.57,89,100,6.2
